【令和８年５月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,横浜市馬場保育園,1410051018778,-,6,9,14,15,14,58,2026-05-01,
鶴見区,14101,横浜市鶴見保育園,1410051020006,4,8,12,14,23,14,75,2026-05-01,
鶴見区,14101,横浜市芦穂崎保育園,1410051018760,4,18,21,20,25,19,107,2026-05-01,
鶴見区,14101,横浜市潮田保育園,1410051019990,9,16,18,23,24,21,111,2026-05-01,
鶴見区,14101,北寺尾第二むつみ保育園,1410051019461,3,8,8,11,12,14,56,2026-05-01,
鶴見区,14101,北寺尾むつみ保育園,1410051017879,3,8,9,15,14,16,65,2026-05-01,
鶴見区,14101,ねむの樹　北寺尾保育園,1410051013787,6,8,8,6,8,8,44,2026-05-01,
鶴見区,14101,馬場どろんこ保育園,1410051025542,6,10,12,14,14,14,70,2026-05-01,
鶴見区,14101,ベネッセ菊名保育園,1410051025898,6,10,11,10,11,11,59,2026-05-01,
鶴見区,14101,きくなハート保育園,1410051025872,3,8,10,13,13,12,59,2026-05-01,
鶴見区,14101,駒岡げんきっず保育園,1410051024909,0,9,9,7,5,9,39,2026-05-01,
鶴見区,14101,にじの風保育園,1410051013779,6,8,10,12,15,16,67,2026-05-01,
鶴見区,14101,ＳＡＮＤＡ ＫＩＤ保育園,1410051025864,5,8,10,10,12,12,57,2026-05-01,
鶴見区,14101,にじいろ保育園駒岡四丁目,1410051027100,-,5,5,6,8,11,35,2026-05-01,
鶴見区,14101,駒岡保育園,1410051013688,2,8,12,14,14,14,64,2026-05-01,
鶴見区,14101,明日葉保育園駒岡園,1410051026482,6,10,11,11,10,11,59,2026-05-01,
鶴見区,14101,にじいろ保育園駒岡,1410051026714,-,6,9,15,10,10,50,2026-05-01,
鶴見区,14101,まなびの森　駒岡こども園,1410051018539,4,6,6,7,6,6,35,2026-05-01,
鶴見区,14101,えみ保育園,1410051017861,8,12,14,19,19,19,91,2026-05-01,
鶴見区,14101,上末吉白百合保育園,1410051013670,8,12,12,10,12,12,66,2026-05-01,
