区,園名,年齢,weighted_score,weight,待機人数,受入可能数,入所児童数,通過率,難易度スコア
鶴見区,ＳＥＡ　ＫＩＤ保育園,2歳,147.5,29.5,0.43478260869565216,0.0,14.91304347826087,0.0,5.0
鶴見区,Ｐ’ｓスマイル保育園,1歳,147.5,29.5,8.695652173913043,0.0,8.0,0.0,5.0
鶴見区,Ｐ’ｓスマイル保育園,0歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,Ｊキッズプラネット鶴見保育園,2歳,147.5,29.5,1.1304347826086956,0.0,13.91304347826087,0.0,5.0
鶴見区,Ｊキッズプラネット鶴見保育園,1歳,147.5,29.5,9.869565217391305,0.0,8.0,0.0,5.0
鶴見区,Ｊキッズプラネット鶴見保育園,0歳,147.5,29.5,20.043478260869566,0.0,6.0,0.0,5.0
鶴見区,鶴見Ａｓａ保育園,5歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見Ａｓａ保育園,4歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見Ａｓａ保育園,3歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見Ａｓａ保育園,2歳,147.5,29.5,0.21739130434782608,0.0,4.086956521739131,0.0,5.0
鶴見区,鶴見Ａｓａ保育園,1歳,147.5,29.5,0.0,0.0,4.956521739130435,0.0,5.0
中区,うみの風保育園,2歳,147.5,29.5,1.0434782608695652,0.0,8.0,0.0,5.0
中区,うちゅう保育園やました,5歳,147.5,29.5,0.0,0.0,9.521739130434783,0.0,5.0
中区,うちゅう保育園やました,1歳,147.5,29.5,5.3478260869565215,0.0,10.0,0.0,5.0
中区,うちゅうこども園やまて,5歳,147.5,29.5,0.30434782608695654,0.0,12.434782608695652,0.0,5.0
鶴見区,鶴見乳幼児福祉センター保育園,1歳,147.5,29.5,2.9565217391304346,0.0,20.0,0.0,5.0
鶴見区,鶴見中央ハート保育園,5歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見中央ハート保育園,4歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見中央ハート保育園,3歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
中区,こもれび保育園根岸園,5歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
中区,こもれび保育園根岸園,4歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
中区,こもれび保育園根岸園,3歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見中央はなかご保育園,0歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ルーナ保育園,5歳,147.5,29.5,0.17391304347826086,0.0,19.47826086956522,0.0,5.0
鶴見区,鶴見ポケット保育園,5歳,147.5,29.5,0.0,0.0,12.0,0.0,5.0
鶴見区,鶴見ハート保育園,5歳,55.0,11.0,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ハート保育園,4歳,55.0,11.0,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ハート保育園,3歳,55.0,11.0,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ハート保育園,2歳,55.0,11.0,0.0,0.0,1.0,0.0,5.0
鶴見区,鶴見サンフラワー保育園,5歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見サンフラワー保育園,4歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見サンフラワー保育園,3歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ぬくもり保育園,5歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ぬくもり保育園,4歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
鶴見区,鶴見ぬくもり保育園,3歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
中区,ほんもくはら保育園,4歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
中区,ほんもくはら保育園,3歳,147.5,29.5,0.0,0.0,0.0,0.0,5.0
