園名,住所,lat,lon
大和深見台雲母保育園,神奈川県大和市深見台１－７－２,35.466053,139.466858
とこちゃん保育園,神奈川県大和市大和南１－１６－２５,35.468262,139.467072
大和つきみ野駅前雲母保育園,神奈川県大和市つきみ野５－８－６,35.510956,139.457825
大和中央林間雲母保育園,神奈川県大和市中央林間５－１－２０,35.509377,139.443893
大和高座渋谷雲母保育園,神奈川県大和市下和田１２４８－２,35.434639,139.467468
よつばベビーななせ,神奈川県大和市大和東３－１５－５,35.474442,139.462265
大和ＹＭＣＡ保育園,神奈川県大和市大和東３－３－１６,35.471722,139.463928
ぽとふ大和,神奈川県大和市中央２－６－１７,35.471691,139.458389
アートチャイルドケア大和第２くれよん保育園,神奈川県大和市渋谷７－１－６佐藤ビル２Ｆ,35.432713,139.466354
保育ルームＦｅｌｉｃｅ大和園,神奈川県大和市西鶴間１－８－２ドルチェＫ１Ｆ,35.491951,139.448517
保育ルームＦｅｌｉｃｅ中央林間園,神奈川県大和市中央林間６－２－１２,35.510963,139.44458
ぽとふ大和第２,神奈川県大和市中央２－１６－１７　２Ｆ,35.471985,139.459106
はひふへ保育園かみわだ園,神奈川県大和市上和田１８００－３第２セゾン松本１Ｆ,35.446339,139.467087
みつばち保育園,神奈川県横浜市鶴見区潮田町３－１３７－５,35.502773,139.688965
わくわくの森保育園,神奈川県横浜市鶴見区市場東中町１２－２７,35.519512,139.684082
白幡保育園,神奈川県横浜市神奈川区西大口９３,35.490517,139.636826
キディ石川町・横浜,神奈川県横浜市中区吉浜町１－６,35.439529,139.642532
ひびき井土ヶ谷保育園,神奈川県横浜市南区井土ケ谷上町２６－２４,35.430744,139.597824
新桜ケ丘保育園,神奈川県横浜市保土ケ谷区新桜ケ丘２－４１－９,35.454636,139.56366
太陽の子　さちが丘保育園,神奈川県横浜市旭区さちが丘５２－７アーヴァイン山太１階,35.460346,139.527557
太陽の子　白根保育園,神奈川県横浜市旭区白根２－３－１８パール横浜白根ビル３階,35.479927,139.557144
土と愛　子供の家保育所,神奈川県横浜市旭区上白根２－９－１８,35.491455,139.539337
土と愛　子供の家保育所第２,神奈川県横浜市旭区上白根町１３０６－２８,35.503529,139.531219
明徳二俣川保育園,神奈川県横浜市旭区二俣川１－６－１二俣川北口ビル６階,35.463181,139.530884
夢のつぼみ保育園,神奈川県横浜市旭区東希望が丘２４０－４,35.467178,139.506744
わかばの森保育園,神奈川県横浜市旭区若葉台２－１４－１若葉台小学校内,35.508251,139.500702
日枝幼児園,神奈川県横浜市磯子区磯子４－３－１１,35.408733,139.619751
西柴保育園,神奈川県横浜市金沢区西柴３－３１－１,35.349823,139.62851
ゆめ和ほいくえん,神奈川県横浜市金沢区六浦東３－１２－１,35.317978,139.616257
森の台保育園,神奈川県横浜市緑区台村町６３３,35.510174,139.530396
小桜愛児園,神奈川県横浜市青葉区あざみ野１－３２－６,35.573452,139.549927
シャローム保育園,神奈川県横浜市青葉区あざみ野３－１１－２７,35.568356,139.540634
あおいそら保育園,神奈川県相模原市南区相模台団地５－８,35.517719,139.410492
げんきっず第２保育園,神奈川県相模原市緑区橋本５－３０ー２３,35.600109,139.342712
ふちのべ美邦こども園,神奈川県相模原市中央区共和１－４－３,35.566628,139.39859
アスク橋本保育園,神奈川県相模原市緑区橋本１－３－７,35.591183,139.346542
エンゼルハウス保育園,神奈川県相模原市緑区橋本２－６－２６,35.596565,139.341568
コンビプラザ橋本保育園,神奈川県相模原市緑区西橋本５－２－１５オラリオンサイト共用棟１Ｆ,35.596455,139.336746
マミー保育園相模大野,神奈川県相模原市南区相模大野７－３－３ブラザービル相模大野３Ｆ,35.532986,139.439362
ゆめいろこども園,神奈川県相模原市中央区相模原４－８－６ヴィラ相模原１Ｆ,35.578335,139.376434
誠心こども園,神奈川県相模原市中央区すすきの町27-38,35.590378,139.369064
相模湖こども園,神奈川県相模原市緑区与瀬８８６－７,35.614128,139.189301
かえでチャイルドセンター,神奈川県綾瀬市寺尾台１－１２－６０,35.457905,139.421036
ぽとふ綾瀬,神奈川県綾瀬市寺尾西３－１１－１,35.454723,139.41748
プレスクールあおば,神奈川県横浜市青葉区青葉台１－１８－１３,35.546406,139.518616
中川小桜愛児園,神奈川県横浜市都筑区中川１－１－１ふれあい中川４階,35.561974,139.571075
柏尾スマイル保育園,神奈川県横浜市戸塚区柏尾町９０９－１,35.415874,139.547577
こんにちは・ありがとうえん,神奈川県横浜市戸塚区品濃町１４６６－１,35.434555,139.559753
ハートの森保育園,神奈川県横浜市戸塚区品濃町１０２４,35.437458,139.55304
