年度,月,区,園名,年齢,難易度スコア,通過率,待機人数,受入可能数,入所児童数
令和6,R6.10.1,中区,あいりす　新山下保育室,0歳,2.5,0.5,0.0,1.0,2.0
令和6,R6.10.1,中区,あいりす　新山下保育室,1歳,5.0,0.0,0.0,0.0,4.0
令和6,R6.10.1,中区,あいりす　新山下保育室,2歳,1.666666666666667,0.6666666666666666,0.0,2.0,3.0
令和6,R6.10.1,中区,あいりす　新山下保育室,3歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,あいりす　新山下保育室,4歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,あいりす　新山下保育室,5歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,あいりす　本牧保育室,0歳,2.5,0.5,0.0,1.0,3.0
令和6,R6.10.1,中区,あいりす　本牧保育室,1歳,5.0,0.0,0.0,0.0,8.0
令和6,R6.10.1,中区,あいりす　本牧保育室,2歳,2.5,0.5,0.0,1.0,5.0
令和6,R6.10.1,中区,あいりす　本牧保育室,3歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,あいりす　本牧保育室,4歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,あいりす　本牧保育室,5歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,うちゅうこども園やまて,0歳,5.0,0.0,13.0,0.0,9.0
令和6,R6.10.1,中区,うちゅうこども園やまて,1歳,5.0,0.0,4.0,0.0,12.0
令和6,R6.10.1,中区,うちゅうこども園やまて,2歳,5.0,0.0,1.0,0.0,12.0
令和6,R6.10.1,中区,うちゅうこども園やまて,3歳,5.0,0.0,0.0,0.0,12.0
令和6,R6.10.1,中区,うちゅうこども園やまて,4歳,5.0,0.0,1.0,0.0,13.0
令和6,R6.10.1,中区,うちゅうこども園やまて,5歳,5.0,0.0,1.0,0.0,12.0
令和6,R6.10.1,中区,うちゅう保育園やました,0歳,5.0,0.0,2.0,0.0,8.0
令和6,R6.10.1,中区,うちゅう保育園やました,1歳,5.0,0.0,3.0,0.0,10.0
令和6,R6.10.1,中区,うちゅう保育園やました,2歳,5.0,0.0,5.0,0.0,10.0
令和6,R6.10.1,中区,うちゅう保育園やました,3歳,2.5,0.5,0.0,1.0,9.0
令和6,R6.10.1,中区,うちゅう保育園やました,4歳,5.0,0.0,1.0,0.0,9.0
令和6,R6.10.1,中区,うちゅう保育園やました,5歳,5.0,0.0,0.0,0.0,10.0
令和6,R6.10.1,中区,うみの風保育園,0歳,5.0,0.0,1.0,0.0,3.0
令和6,R6.10.1,中区,うみの風保育園,1歳,5.0,0.0,0.0,0.0,8.0
令和6,R6.10.1,中区,うみの風保育園,2歳,5.0,0.0,2.0,0.0,8.0
令和6,R6.10.1,中区,うみの風保育園,3歳,2.5,0.5,0.0,1.0,7.0
令和6,R6.10.1,中区,うみの風保育園,4歳,5.0,0.0,0.0,0.0,8.0
令和6,R6.10.1,中区,うみの風保育園,5歳,2.5,0.5,0.0,1.0,7.0
令和6,R6.10.1,中区,ことぶき保育園,0歳,5.0,0.0,2.0,0.0,5.0
令和6,R6.10.1,中区,ことぶき保育園,1歳,0.8333333333333331,0.8333333333333334,0.0,5.0,6.0
令和6,R6.10.1,中区,ことぶき保育園,2歳,5.0,0.0,1.0,0.0,12.0
令和6,R6.10.1,中区,ことぶき保育園,3歳,1.25,0.75,0.0,3.0,10.0
令和6,R6.10.1,中区,ことぶき保育園,4歳,5.0,0.0,0.0,0.0,13.0
令和6,R6.10.1,中区,ことぶき保育園,5歳,2.5,0.5,0.0,1.0,13.0
令和6,R6.10.1,中区,こもれび保育園根岸園,0歳,5.0,0.0,0.0,0.0,2.0
令和6,R6.10.1,中区,こもれび保育園根岸園,1歳,5.0,0.0,1.0,0.0,6.0
令和6,R6.10.1,中区,こもれび保育園根岸園,2歳,5.0,0.0,0.0,0.0,7.0
令和6,R6.10.1,中区,こもれび保育園根岸園,3歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,こもれび保育園根岸園,4歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,こもれび保育園根岸園,5歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,すいとぴー保育園,0歳,5.0,0.0,4.0,0.0,5.0
令和6,R6.10.1,中区,すいとぴー保育園,1歳,5.0,0.0,3.0,0.0,9.0
令和6,R6.10.1,中区,すいとぴー保育園,2歳,5.0,0.0,0.0,0.0,10.0
令和6,R6.10.1,中区,すいとぴー保育園,3歳,2.5,0.5,0.0,1.0,11.0
令和6,R6.10.1,中区,すいとぴー保育園,4歳,1.666666666666667,0.6666666666666666,0.0,2.0,10.0
令和6,R6.10.1,中区,すいとぴー保育園,5歳,1.666666666666667,0.6666666666666666,0.0,2.0,10.0
令和6,R6.10.1,中区,にじいろ保育園関内,0歳,5.0,0.0,3.0,0.0,5.0
令和6,R6.10.1,中区,にじいろ保育園関内,1歳,5.0,0.0,1.0,0.0,7.0
令和6,R6.10.1,中区,にじいろ保育園関内,2歳,5.0,0.0,4.0,0.0,9.0
令和6,R6.10.1,中区,にじいろ保育園関内,3歳,5.0,0.0,0.0,0.0,8.0
令和6,R6.10.1,中区,にじいろ保育園関内,4歳,5.0,0.0,0.0,0.0,10.0
令和6,R6.10.1,中区,にじいろ保育園関内,5歳,5.0,0.0,0.0,0.0,10.0
令和6,R6.10.1,中区,のぞみ山手駅前保育園,0歳,5.0,0.0,1.0,0.0,3.0
令和6,R6.10.1,中区,のぞみ山手駅前保育園,1歳,5.0,0.0,1.0,0.0,8.0
令和6,R6.10.1,中区,のぞみ山手駅前保育園,2歳,5.0,0.0,1.0,0.0,8.0
令和6,R6.10.1,中区,のぞみ山手駅前保育園,3歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,のぞみ山手駅前保育園,4歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,のぞみ山手駅前保育園,5歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,ほんもくはら保育園,0歳,5.0,0.0,0.0,0.0,3.0
令和6,R6.10.1,中区,ほんもくはら保育園,1歳,5.0,0.0,0.0,0.0,8.0
令和6,R6.10.1,中区,ほんもくはら保育園,2歳,5.0,0.0,0.0,0.0,8.0
令和6,R6.10.1,中区,ほんもくはら保育園,3歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,ほんもくはら保育園,4歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,ほんもくはら保育園,5歳,5.0,0.0,0.0,0.0,0.0
令和6,R6.10.1,中区,アスク山下町保育園,0歳,5.0,0.0,4.0,0.0,5.0
令和6,R6.10.1,中区,アスク山下町保育園,1歳,5.0,0.0,1.0,0.0,10.0
令和6,R6.10.1,中区,アスク山下町保育園,2歳,5.0,0.0,2.0,0.0,10.0
令和6,R6.10.1,中区,アスク山下町保育園,3歳,0.9999999999999998,0.8,0.0,4.0,8.0
令和6,R6.10.1,中区,アスク山下町保育園,4歳,2.5,0.5,0.0,1.0,12.0
