年度,区,園名,年齢,難易度スコア,通過率
令和6,中区,あいりす　新山下保育室,0歳,3.333333333333333,0.3333333333333333
令和6,中区,あいりす　新山下保育室,1歳,2.673160173160173,0.4653679653679653
令和6,中区,あいりす　新山下保育室,2歳,1.298701298701299,0.7402597402597402
令和6,中区,あいりす　新山下保育室,3歳,5.0,0.0
令和6,中区,あいりす　新山下保育室,4歳,5.0,0.0
令和6,中区,あいりす　新山下保育室,5歳,5.0,0.0
令和6,中区,あいりす　本牧保育室,0歳,4.545454545454546,0.09090909090909091
令和6,中区,あいりす　本牧保育室,1歳,3.6363636363636362,0.2727272727272727
令和6,中区,あいりす　本牧保育室,2歳,2.0752740167633785,0.5849451966473244
令和6,中区,あいりす　本牧保育室,3歳,5.0,0.0
令和6,中区,あいりす　本牧保育室,4歳,5.0,0.0
令和6,中区,あいりす　本牧保育室,5歳,5.0,0.0
令和6,中区,うちゅうこども園やまて,0歳,5.0,0.0
令和6,中区,うちゅうこども園やまて,1歳,5.0,0.0
令和6,中区,うちゅうこども園やまて,2歳,5.0,0.0
令和6,中区,うちゅうこども園やまて,3歳,5.0,0.0
令和6,中区,うちゅうこども園やまて,4歳,5.0,0.0
令和6,中区,うちゅうこども園やまて,5歳,5.0,0.0
令和6,中区,うちゅう保育園やました,0歳,4.7727272727272725,0.045454545454545456
令和6,中区,うちゅう保育園やました,1歳,5.0,0.0
令和6,中区,うちゅう保育園やました,2歳,5.0,0.0
令和6,中区,うちゅう保育園やました,3歳,4.318181818181818,0.13636363636363635
令和6,中区,うちゅう保育園やました,4歳,5.0,0.0
令和6,中区,うちゅう保育園やました,5歳,5.0,0.0
令和6,中区,うみの風保育園,0歳,5.0,0.0
令和6,中区,うみの風保育園,1歳,4.7727272727272725,0.045454545454545456
令和6,中区,うみの風保育園,2歳,5.0,0.0
令和6,中区,うみの風保育園,3歳,2.5,0.5
令和6,中区,うみの風保育園,4歳,5.0,0.0
令和6,中区,うみの風保育園,5歳,2.575757575757576,0.4848484848484848
令和6,中区,ことぶき保育園,0歳,5.0,0.0
令和6,中区,ことぶき保育園,1歳,0.8787878787878786,0.8242424242424242
令和6,中区,ことぶき保育園,2歳,4.7727272727272725,0.045454545454545456
令和6,中区,ことぶき保育園,3歳,1.356060606060606,0.7287878787878789
令和6,中区,ことぶき保育園,4歳,5.0,0.0
令和6,中区,ことぶき保育園,5歳,2.878787878787879,0.42424242424242425
令和6,中区,こもれび保育園根岸園,0歳,4.545454545454546,0.09090909090909091
令和6,中区,こもれび保育園根岸園,1歳,4.545454545454546,0.09090909090909091
令和6,中区,こもれび保育園根岸園,2歳,4.7727272727272725,0.045454545454545456
令和6,中区,こもれび保育園根岸園,3歳,5.0,0.0
令和6,中区,こもれび保育園根岸園,4歳,5.0,0.0
令和6,中区,こもれび保育園根岸園,5歳,5.0,0.0
令和6,中区,すいとぴー保育園,0歳,5.0,0.0
令和6,中区,すいとぴー保育園,1歳,5.0,0.0
令和6,中区,すいとぴー保育園,2歳,5.0,0.0
令和6,中区,すいとぴー保育園,3歳,2.727272727272727,0.45454545454545453
令和6,中区,すいとぴー保育園,4歳,1.931818181818182,0.6136363636363636
令和6,中区,すいとぴー保育園,5歳,1.9696969696969702,0.606060606060606
令和6,中区,にじいろ保育園関内,0歳,5.0,0.0
令和6,中区,にじいろ保育園関内,1歳,5.0,0.0
令和6,中区,にじいろ保育園関内,2歳,5.0,0.0
令和6,中区,にじいろ保育園関内,3歳,5.0,0.0
令和6,中区,にじいろ保育園関内,4歳,5.0,0.0
令和6,中区,にじいろ保育園関内,5歳,5.0,0.0
令和6,中区,のぞみ山手駅前保育園,0歳,4.7727272727272725,0.045454545454545456
令和6,中区,のぞみ山手駅前保育園,1歳,5.0,0.0
令和6,中区,のぞみ山手駅前保育園,2歳,5.0,0.0
令和6,中区,のぞみ山手駅前保育園,3歳,5.0,0.0
令和6,中区,のぞみ山手駅前保育園,4歳,5.0,0.0
令和6,中区,のぞみ山手駅前保育園,5歳,5.0,0.0
令和6,中区,ほんもくはら保育園,0歳,5.0,0.0
令和6,中区,ほんもくはら保育園,1歳,4.545454545454546,0.09090909090909091
