区,難易度スコア,通過率,園数
中区,4.164793390412551,0.16521508407186453,276
保土ケ谷区,4.196798542857148,0.1588637203759889,384
南区,4.78343458245822,0.04379862847376547,324
戸塚区,4.6724660160007385,0.06526590179719585,642
旭区,4.586915397371638,0.0814630397899291,456
栄区,4.693180818571282,0.059957751280146125,192
泉区,4.59538716000408,0.07936613837013118,300
港北区,4.272961642247941,0.14206769226037794,1032
港南区,4.692062209316308,0.0604664821744074,420
瀬谷区,4.568123223663331,0.08464259352066579,234
磯子区,4.560807605463277,0.08508593340114225,324
神奈川区,4.020372152431327,0.19277339541863647,564
緑区,4.6011947143900365,0.07468940746760074,420
西区,4.1325301595855155,0.17344397743473508,246
都筑区,4.480568440087001,0.10002258846237343,444
金沢区,4.55087690669287,0.08594122011688779,300
青葉区,4.243121132862847,0.15002338258850229,570
鶴見区,4.301936940243636,0.1403456800938912,684
